account_id,account_number,account_name,portfolio_id,branch_id,officer_id,customer_id,approval_date,loan_amount,interest_rate,status,ltv_ratio,collateral_type
1,ACC_00000001,Loan_1,1,1,2,CUST_000037,2026-02-15T17:09:49.360109,281796.4793805166,0.17564762209265627,Active,0.6810534635458313,Unsecured
2,ACC_00000002,Loan_2,1,1,1,CUST_000234,2024-11-27T17:09:49.360109,432383.3795942159,0.13026120484394244,Active,0.39139775367872126,Equipment
3,ACC_00000003,Loan_3,1,1,1,CUST_000207,2024-05-28T17:09:49.362118,30690.96707571796,0.08822374189920053,Active,0.7390348419385278,Unsecured
4,ACC_00000004,Loan_4,1,1,2,CUST_000401,2025-11-26T17:09:49.362118,9939.49444593244,0.1946887324709824,Active,0.8016706219243492,Land
5,ACC_00000005,Loan_5,1,1,1,CUST_000487,2025-03-09T17:09:49.362118,377079.70515134506,0.17469556610385928,Active,0.332108677747826,Unsecured
6,ACC_00000006,Loan_6,1,1,2,CUST_000120,2025-09-03T17:09:49.364127,348433.7506988688,0.16055247360671665,Active,0.42515302064463045,Land
7,ACC_00000007,Loan_7,1,1,2,CUST_000385,2025-07-22T17:09:49.364127,307136.86018257216,0.05482203868173337,Active,0.37625774413106355,Equipment
8,ACC_00000008,Loan_8,1,1,1,CUST_000455,2024-10-20T17:09:49.366915,187722.41593555623,0.12143846679860898,Active,0.6123263023829151,Building
9,ACC_00000009,Loan_9,1,1,2,CUST_000004,2025-03-18T17:09:49.366915,355176.0062051565,0.19235558899818989,Defaulted,0.6496116879327498,Equipment
10,ACC_00000010,Loan_10,1,1,1,CUST_000118,2026-01-13T17:09:49.368949,325907.27601290675,0.1522187642944796,Active,0.8801811087709892,Equipment
11,ACC_00000011,Loan_11,1,1,3,CUST_000397,2026-02-05T17:09:49.368949,215267.7540544722,0.11834976846518547,Active,0.3041044488890181,Building
12,ACC_00000012,Loan_12,1,1,2,CUST_000209,2025-07-10T17:09:49.368949,380962.47361488733,0.09119763683769465,Closed,0.31268989400964975,Equipment
13,ACC_00000013,Loan_13,1,1,3,CUST_000219,2026-03-16T17:09:49.368949,29548.786568942633,0.06893619810095902,Active,0.5995018999575971,Unsecured
14,ACC_00000014,Loan_14,1,1,1,CUST_000263,2024-05-25T17:09:49.370958,66853.50021158895,0.0713102494432226,Active,0.45587664970269626,Unsecured
15,ACC_00000015,Loan_15,1,1,2,CUST_000035,2025-07-24T17:09:49.370958,388254.3181118322,0.18124059607472132,Active,0.6429766160166993,Building
16,ACC_00000016,Loan_16,1,1,2,CUST_000093,2026-02-04T17:09:49.370958,274370.6587435169,0.05160162813475658,Active,0.3325270465235958,Land
17,ACC_00000017,Loan_17,1,1,2,CUST_000236,2024-09-28T17:09:49.372967,184442.31700445118,0.167329265554985,Active,0.6919737245408176,Equipment
18,ACC_00000018,Loan_18,1,1,2,CUST_000404,2024-12-14T17:09:49.373974,24960.993661870598,0.0689536942069188,Active,0.39176591188525567,Equipment
19,ACC_00000019,Loan_19,1,1,2,CUST_000418,2025-11-21T17:09:49.373974,319402.7094876478,0.2319110856874405,Active,0.6342285517153405,Land
