payment_id,account_id,payment_date,amount_paid,status,days_past_due
1,1,2026-02-15T17:09:49.360109,0.0,Arrears,92
2,1,2026-03-17T17:09:49.360109,0.0,Arrears,62
3,1,2026-04-16T17:09:49.360109,0.0,Late,32
4,1,2026-05-16T17:09:49.360109,15655.359965584257,On-time,2
5,2,2024-11-27T17:09:49.360109,0.0,Arrears,537
6,2,2024-12-27T17:09:49.360109,0.0,Arrears,507
7,2,2025-01-26T17:09:49.360109,0.0,Arrears,477
8,2,2025-02-25T17:09:49.360109,0.0,Arrears,447
9,2,2025-03-27T17:09:49.360109,0.0,Arrears,417
10,2,2025-04-26T17:09:49.360109,0.0,Arrears,387
11,2,2025-05-26T17:09:49.360109,0.0,Arrears,357
12,2,2025-06-25T17:09:49.360109,0.0,Arrears,327
13,2,2025-07-25T17:09:49.360109,0.0,Arrears,297
14,2,2025-08-24T17:09:49.360109,0.0,Arrears,267
15,2,2025-09-23T17:09:49.360109,0.0,Arrears,237
16,2,2025-10-23T17:09:49.360109,0.0,Arrears,207
17,2,2025-11-22T17:09:49.360109,0.0,Arrears,177
18,2,2025-12-22T17:09:49.360109,0.0,Arrears,147
19,2,2026-01-21T17:09:49.360109,0.0,Arrears,117
20,2,2026-02-20T17:09:49.360109,0.0,Arrears,87
21,2,2026-03-22T17:09:49.360109,0.0,Late,57
22,2,2026-04-21T17:09:49.360109,17295.335183768635,On-time,27
23,3,2024-05-28T17:09:49.362118,0.0,Arrears,720
24,3,2024-06-27T17:09:49.362118,0.0,Arrears,690
25,3,2024-07-27T17:09:49.362118,0.0,Arrears,660
26,3,2024-08-26T17:09:49.362118,0.0,Arrears,630
27,3,2024-09-25T17:09:49.362118,0.0,Arrears,600
28,3,2024-10-25T17:09:49.362118,0.0,Arrears,570
29,3,2024-11-24T17:09:49.362118,0.0,Arrears,540
30,3,2024-12-24T17:09:49.362118,0.0,Arrears,510
31,3,2025-01-23T17:09:49.362118,0.0,Arrears,480
32,3,2025-02-22T17:09:49.362118,0.0,Arrears,450
33,3,2025-03-24T17:09:49.362118,0.0,Arrears,420
